Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Winchmore 2 Ews,42899,H31772,-43.78916,171.79029,164,H,Niwa
Winchmore Ews,4764,H31883,-43.79346,171.79512,160,H,Niwa/Agresearch
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Form_DLY (Extended)
(Note that non standard row charges apply. For details search the help on "fdly").
Station,Day(Local_Date),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tmean(C),Tmax(C),Tmin(C),Tgmin(C),VapPress(hPa),ET05(C),ET10(C),ET20(C),ET50(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ/m2),SoilM(%)
4764,20130514:0000,48,7.4,185,0.0,8.8,13.8,4.5,0.1,10.5,-,11.1,-,-,-,1016.3,-,-,5.31,25.8
4764,20130515:0000,161,7.8,159,0.0,9.3,16.2,4.4,-0.6,9.1,-,10.2,-,-,-,1017.4,-,-,7.78,25.7
4764,20130516:0000,351,12.0,219,0.0,10.2,16.6,4.4,1.6,10.4,-,10.8,-,-,-,1014.4,-,-,6.85,25.5
4764,20130517:0000,332,10.6,219,1.9,13.2,17.0,8.8,8.2,10.9,-,11.4,-,-,-,1007.7,-,-,2.56,25.4
4764,20130518:0000,229,9.6,321,3.8,9.7,11.5,8.5,8.6,11.7,-,11.6,-,-,-,1002.2,-,-,2.30,25.3
4764,20130519:0000,127,6.2,158,14.0,9.7,11.7,8.1,8.2,11.8,-,11.6,-,-,-,1002.1,-,-,2.13,29.0
4764,20130520:0000,42,4.4,94,0.2,8.9,12.6,4.5,5.4,10.6,-,11.6,-,-,-,1006.1,-,-,4.85,28.9
4764,20130521:0000,75,7.4,148,3.2,9.7,11.7,7.8,7.8,11.6,-,11.6,-,-,-,1007.5,-,-,2.34,28.4
4764,20130522:0000,234,8.9,127,0.1,9.2,13.7,5.4,2.0,11.0,-,11.6,-,-,-,999.0,-,-,4.82,28.6
4764,20130523:0000,216,11.9,246,8.0,7.5,12.2,1.4,-3.5,8.6,-,10.9,-,-,-,1004.6,-,-,7.55,30.2
4764,20130524:0000,41,6.2,136,0.0,5.3,11.2,1.0,-3.8,7.1,-,9.0,-,-,-,1016.0,-,-,7.23,29.0
